timestamp,axes_x,axes_y,axes_z,buttons_0,buttons_1
1660320833704175942,-0.000000,-0.000000,-0.000000,0,0
1660320833714211652,-0.000000,-0.000000,-0.000000,0,0
1660320833724316854,-0.000000,-0.000000,-0.000000,0,0
1660320833734380960,-0.000000,-0.000000,-0.000000,0,0
1660320833744491478,-0.000000,-0.000000,-0.000000,0,0
1660320833754603345,-0.000000,-0.000000,-0.000000,0,0
1660320833764696677,-0.000000,-0.000000,-0.000000,0,0
1660320833774852303,-0.000000,-0.000000,-0.000000,0,0
1660320833784965244,-0.000000,-0.000000,-0.000000,0,0
1660320833795121708,-0.000000,-0.000000,-0.000000,0,0
1660320833805234837,-0.000000,-0.000000,-0.000000,0,0
1660320833815365481,-0.000000,-0.000000,-0.000000,0,0
1660320833825505010,-0.000000,-0.000000,-0.000000,0,0
1660320833835620296,-0.000000,-0.000000,-0.000000,0,0
1660320833845768693,-0.000000,-0.000000,-0.000000,0,0
1660320833855932101,-0.000000,-0.000000,-0.000000,0,0
1660320833866054263,-0.000000,-0.000000,-0.000000,0,0
1660320833876186098,-0.000000,-0.000000,-0.000000,0,0
1660320833886430792,-0.000000,-0.000000,-0.000000,0,0
1660320833896525776,-0.000000,-0.000000,-0.000000,0,0
1660320833906645267,-0.000000,-0.000000,-0.000000,0,0
1660320833916740592,-0.000000,-0.000000,-0.000000,0,0
1660320833926838214,-0.000000,-0.000000,-0.000000,0,0
1660320833936957055,-0.000000,-0.000000,-0.000000,0,0
1660320833947063321,-0.000000,-0.000000,-0.000000,0,0
1660320833957180922,-0.000000,-0.000000,-0.000000,0,0
1660320833967289984,-0.000000,-0.000000,-0.000000,0,0
1660320833977389527,-0.000000,-0.000000,-0.000000,0,0
1660320833987506156,-0.000000,-0.000000,-0.000000,0,0
1660320833997588305,-0.000000,-0.000000,-0.000000,0,0
1660320834007662144,-0.000000,-0.000000,-0.000000,0,0
1660320834017710123,-0.000000,-0.000000,-0.000000,0,0
1660320834027790390,-0.000000,-0.000000,-0.000000,0,0
1660320834037864255,-0.000000,-0.000000,-0.000000,0,0
1660320834048000574,-0.000000,-0.000000,-0.000000,0,0
1660320834058155882,-0.000000,-0.000000,-0.000000,0,0
1660320834068320839,-0.000000,-0.000000,-0.000000,0,0
1660320834078620108,-0.000000,-0.000000,-0.000000,0,0
1660320834088731268,-0.000000,-0.000000,-0.000000,0,0
1660320834098856198,-0.000000,-0.000000,-0.000000,0,0
1660320834109001155,-0.000000,-0.000000,-0.000000,0,0
1660320834119069639,-0.000000,-0.000000,-0.000000,0,0
1660320834129194391,-0.000000,-0.000000,-0.000000,0,0
1660320834139242121,-0.000000,-0.000000,-0.000000,0,0
1660320834149381878,-0.000000,-0.000000,-0.000000,0,0
1660320834159500543,-0.000000,-0.000000,-0.000000,0,0
1660320834169593914,-0.000000,-0.000000,-0.000000,0,0
1660320834179695861,-0.000000,-0.000000,-0.000000,0,0
1660320834189825398,-0.000000,-0.000000,-0.000000,0,0
1660320834199937035,-0.000000,-0.000000,-0.000000,0,0
1660320834210042645,-0.000000,-0.000000,-0.000000,0,0
1660320834220074435,-0.000000,-0.000000,-0.000000,0,0
1660320834230211270,-0.000000,-0.000000,-0.000000,0,0
1660320834240273057,-0.000000,-0.000000,-0.000000,0,0
1660320834250352325,-0.000000,-0.000000,-0.000000,0,0
1660320834260455380,-0.000000,-0.000000,-0.000000,0,0
1660320834270569619,-0.000000,-0.000000,-0.000000,0,0
1660320834280689796,-0.000000,-0.000000,-0.000000,0,0
1660320834290846993,-0.000000,-0.000000,-0.000000,0,0
1660320834300985526,-0.000000,-0.000000,-0.000000,0,0
1660320834311147667,-0.000000,-0.000000,-0.000000,0,0
1660320834321273653,-0.000000,-0.000000,-0.000000,0,0
1660320834331433755,-0.000000,-0.000000,-0.000000,0,0
1660320834341556964,-0.000000,-0.000000,-0.000000,0,0
1660320834351687493,-0.000000,-0.000000,-0.000000,0,0
1660320834361821711,-0.000000,-0.000000,-0.000000,0,0
1660320834371893756,-0.000000,-0.000000,-0.000000,0,0
1660320834382043958,-0.000000,-0.000000,-0.000000,0,0
1660320834392185380,-0.000000,-0.000000,-0.000000,0,0
1660320834402280779,-0.000000,-0.000000,-0.000000,0,0
1660320834412374347,-0.000000,-0.000000,-0.000000,0,0
1660320834422492514,-0.000000,-0.000000,-0.000000,0,0
1660320834432608159,-0.000000,-0.000000,-0.000000,0,0
1660320834442745569,-0.000000,-0.000000,-0.000000,0,0
1660320834452871901,-0.000000,-0.000000,-0.000000,0,0
1660320834462986542,-0.000000,-0.000000,-0.000000,0,0
1660320834473088177,-0.000000,-0.000000,-0.000000,0,0
1660320834483167808,-0.000000,-0.000000,-0.000000,0,0
1660320834493265911,-0.000000,-0.000000,-0.000000,0,0
1660320834503433215,-0.000000,-0.000000,-0.000000,0,0
1660320834513548071,-0.000000,-0.000000,-0.000000,0,0
1660320834523642981,-0.000000,-0.000000,-0.000000,0,0
1660320834533734801,-0.000000,-0.000000,-0.000000,0,0
1660320834543828876,-0.000000,-0.000000,-0.000000,0,0
1660320834553927344,-0.000000,-0.000000,-0.000000,0,0
1660320834564041494,-0.000000,-0.000000,-0.000000,0,0
1660320834574140389,-0.000000,-0.000000,-0.000000,0,0
1660320834584301167,-0.000000,-0.000000,-0.000000,0,0
1660320834594401307,-0.000000,-0.000000,-0.000000,0,0
1660320834604511257,-0.000000,-0.000000,-0.000000,0,0
1660320834614607653,-0.000000,-0.000000,-0.000000,0,0
1660320834624694679,-0.000000,-0.000000,-0.000000,0,0
1660320834634770121,-0.000000,-0.000000,-0.000000,0,0
1660320834644843674,-0.000000,-0.000000,-0.000000,0,0
1660320834654915524,-0.000000,-0.000000,-0.000000,0,0
1660320834664991459,-0.000000,-0.000000,-0.000000,0,0
1660320834675067395,-0.000000,-0.000000,-0.000000,0,0
1660320834685140631,-0.000000,-0.000000,-0.000000,0,0
1660320834695217034,-0.000000,-0.000000,-0.000000,0,0
1660320834705305053,-0.000000,-0.000000,-0.000000,0,0
1660320834715415207,-0.000000,-0.000000,-0.000000,0,0
1660320834725566673,-0.000000,-0.000000,-0.000000,0,0
1660320834735688549,-0.000000,-0.000000,-0.000000,0,0
1660320834745800582,-0.000000,-0.000000,-0.000000,0,0
1660320834755906397,-0.000000,-0.000000,-0.000000,0,0
1660320834766036836,-0.000000,-0.000000,-0.000000,0,0
1660320834776131892,-0.000000,-0.000000,-0.000000,0,0
1660320834786216219,-0.000000,-0.000000,-0.000000,0,0
1660320834796302594,-0.000000,-0.000000,-0.000000,0,0
1660320834806418765,-0.000000,-0.000000,-0.000000,0,0
1660320834816498577,-0.000000,-0.000000,-0.000000,0,0
1660320834826594610,-0.000000,-0.000000,-0.000000,0,0
1660320834836679772,-0.000000,-0.000000,-0.000000,0,0
1660320834846791779,-0.000000,-0.000000,-0.000000,0,0
1660320834856898042,-0.000000,-0.000000,-0.000000,0,0
1660320834866989360,-0.000000,-0.000000,-0.000000,0,0
1660320834877147526,-0.000000,-0.000000,-0.000000,0,0
1660320834887404812,-0.000000,-0.000000,-0.000000,0,0
1660320834897529663,-0.000000,-0.000000,-0.000000,0,0
1660320834907689586,-0.000000,-0.000000,-0.000000,0,0
1660320834917835625,-0.000000,-0.000000,-0.000000,0,0
1660320834927959107,-0.000000,-0.000000,-0.000000,0,0
1660320834938101972,-0.000000,-0.000000,-0.000000,0,0
1660320834948209499,-0.000000,-0.000000,-0.000000,0,0
1660320834958330507,-0.000000,-0.000000,-0.000000,0,0
1660320834968460799,-0.000000,-0.000000,-0.000000,0,0
1660320834978571303,-0.000000,-0.000000,-0.000000,0,0
1660320834988655001,-0.000000,-0.000000,-0.000000,0,0
1660320834998738089,-0.000000,-0.000000,-0.000000,0,0
1660320835008821387,-0.000000,-0.000000,-0.000000,0,0
1660320835018944193,-0.000000,-0.000000,-0.000000,0,0
1660320835029029851,-0.000000,-0.000000,-0.000000,0,0
1660320835039111650,-0.000000,-0.000000,-0.000000,0,0
1660320835049231524,-0.000000,-0.000000,-0.000000,0,0
1660320835058066033,-0.000000,-0.000000,-0.000000,0,0
1660320835066124550,0.062214,-0.070406,-0.000000,0,0
1660320835074061564,0.160645,-0.141466,-0.000000,0,0
1660320835082236248,0.270029,-0.218052,-0.000000,0,0
1660320835092337308,0.270029,-0.218052,-0.000000,0,0
1660320835098071268,0.393067,-0.300066,-0.000000,0,0
1660320835106088683,0.540712,-0.390304,-0.000000,0,0
1660320835114067494,0.721157,-0.480511,-0.000000,0,0
1660320835122076718,0.950817,-0.584434,-0.000000,0,0
1660320835130153817,1.000000,-0.685595,-0.000000,0,0
1660320835138139887,1.000000,-0.789487,-0.000000,0,0
1660320835146170290,1.000000,-0.901570,-0.000000,0,0
1660320835154097190,1.000000,-1.000000,-0.000000,0,0
1660320835164244150,1.000000,-1.000000,-0.000000,0,0
1660320835174367620,1.000000,-1.000000,-0.000000,0,0
1660320835184481134,1.000000,-1.000000,-0.000000,0,0
1660320835194546394,1.000000,-1.000000,-0.000000,0,0
1660320835204648499,1.000000,-1.000000,-0.000000,0,0
1660320835214757009,1.000000,-1.000000,-0.000000,0,0
1660320835224840129,1.000000,-1.000000,-0.000000,0,0
1660320835234913324,1.000000,-1.000000,-0.000000,0,0
1660320835245021811,1.000000,-1.000000,-0.000000,0,0
1660320835255113529,1.000000,-1.000000,-0.000000,0,0
1660320835266087707,1.000000,-0.967201,-0.000000,0,0
1660320835274058082,1.000000,-0.893378,-0.000000,0,0
1660320835282100258,0.887949,-0.819555,-0.000000,0,0
1660320835290129419,0.671942,-0.745733,-0.000000,0,0
1660320835298048384,0.488767,-0.671910,-0.000000,0,0
1660320835306084412,0.330167,-0.598087,-0.000000,0,0
1660320835314054745,0.185252,-0.529726,-0.000000,0,0
1660320835322030829,0.056753,-0.442250,-0.000000,0,0
1660320835330064769,-0.000000,-0.308258,-0.000000,0,0
1660320835338075840,-0.000000,-0.130544,-0.000000,0,0
1660320835346017944,-0.000000,-0.000000,-0.000000,0,0
1660320835356136429,-0.000000,-0.000000,-0.000000,0,0
1660320835366262548,-0.000000,-0.000000,-0.000000,0,0
1660320835376348937,-0.000000,-0.000000,-0.000000,0,0
1660320835386470350,-0.000000,-0.000000,-0.000000,0,0
1660320835396589460,-0.000000,-0.000000,-0.000000,0,0
1660320835406726569,-0.000000,-0.000000,-0.000000,0,0
1660320835416810420,-0.000000,-0.000000,-0.000000,0,0
1660320835426922104,-0.000000,-0.000000,-0.000000,0,0
1660320835437006846,-0.000000,-0.000000,-0.000000,0,0
1660320835447130699,-0.000000,-0.000000,-0.000000,0,0
1660320835457267305,-0.000000,-0.000000,-0.000000,0,0
1660320835467334255,-0.000000,-0.000000,-0.000000,0,0
1660320835477454231,-0.000000,-0.000000,-0.000000,0,0
1660320835487593486,-0.000000,-0.000000,-0.000000,0,0
1660320835497706667,-0.000000,-0.000000,-0.000000,0,0
1660320835507838873,-0.000000,-0.000000,-0.000000,0,0
1660320835517939471,-0.000000,-0.000000,-0.000000,0,0
1660320835528040866,-0.000000,-0.000000,-0.000000,0,0
1660320835538117757,-0.000000,-0.000000,-0.000000,0,0
1660320835548225511,-0.000000,-0.000000,-0.000000,0,0
1660320835558304914,-0.000000,-0.000000,-0.000000,0,0
1660320835568412143,-0.000000,-0.000000,-0.000000,0,0
1660320835578501520,-0.000000,-0.000000,-0.000000,0,0
1660320835588639876,-0.000000,-0.000000,-0.000000,0,0
1660320835598770005,-0.000000,-0.000000,-0.000000,0,0
1660320835608883366,-0.000000,-0.000000,-0.000000,0,0
1660320835617981650,-0.000000,-0.000000,-0.000000,0,0
1660320835625911956,-0.026652,-0.000000,-0.000000,0,0
1660320835633926112,-0.111397,-0.000000,-0.000000,0,0
1660320835644041567,-0.111397,-0.000000,-0.000000,0,0
1660320835649947025,-0.215289,-0.000000,-0.000000,0,0
1660320835657911100,-0.330135,-0.000000,-0.000000,0,0
1660320835665941689,-0.450442,-0.000000,-0.000000,0,0
1660320835673904330,-0.573480,-0.000000,-0.000000,0,0
1660320835681934185,-0.704709,-0.000000,-0.000000,0,0
1660320835689986319,-0.844163,-0.000000,-0.000000,0,0
1660320835697889951,-0.986347,-0.000000,-0.000000,0,0
1660320835705888573,-1.000000,-0.000000,-0.000000,0,0
1660320835715989661,-1.000000,-0.000000,-0.000000,0,0
1660320835726082284,-1.000000,-0.000000,-0.000000,0,0
1660320835736127569,-1.000000,-0.000000,-0.000000,0,0
1660320835737779067,-1.000000,-0.000000,-0.000000,0,0
1660320835745832821,-1.000000,-0.000000,-0.000000,0,0
1660320835753846663,-1.000000,-0.007506,-0.000000,0,0
1660320835761791467,-1.000000,-0.032114,-0.000000,0,0
1660320835769857622,-1.000000,-0.056721,-0.000000,0,0
1660320835777810328,-1.000000,-0.078598,-0.000000,0,0
1660320835785934656,-1.000000,-0.095014,-0.000000,0,0
1660320835793775408,-1.000000,-0.111397,-0.000000,0,0
1660320835801757274,-1.000000,-0.116859,-0.000000,0,0
1660320835809772827,-1.000000,-0.122352,-0.000000,0,0
1660320835817810490,-1.000000,-0.127813,-0.000000,0,0
1660320835827896578,-1.000000,-0.127813,-0.000000,0,0
1660320835837977735,-1.000000,-0.127813,-0.000000,0,0
1660320835841847323,-0.994539,-0.125083,-0.000000,0,0
1660320835849875507,-0.893378,-0.116859,-0.000000,0,0
1660320835857755280,-0.786756,-0.092251,-0.000000,0,0
1660320835865813601,-0.674641,-0.075867,-0.000000,0,0
1660320835873747121,-0.562557,-0.051260,-0.000000,0,0
1660320835881908523,-0.444981,-0.026652,-0.000000,0,0
1660320835889839178,-0.324674,-0.004775,-0.000000,0,0
1660320835897800945,-0.198905,-0.000000,-0.000000,0,0
1660320835905831363,-0.081329,-0.000000,-0.000000,0,0
1660320835913756858,-0.000000,-0.000000,-0.000000,0,0
1660320835923821634,-0.000000,-0.000000,-0.000000,0,0
1660320835929858426,-0.000000,-0.000000,-0.000000,0,0
1660320835939985384,-0.000000,-0.000000,-0.000000,0,0
1660320835950142782,-0.000000,-0.000000,-0.000000,0,0
1660320835960260698,-0.000000,-0.000000,-0.000000,0,0
1660320835970404573,-0.000000,-0.000000,-0.000000,0,0
1660320835980518995,-0.000000,-0.000000,-0.000000,0,0
1660320835990594543,-0.000000,-0.000000,-0.000000,0,0
1660320836000657997,-0.000000,-0.000000,-0.000000,0,0
1660320836010817871,-0.000000,-0.000000,-0.000000,0,0
1660320836020922781,-0.000000,-0.000000,-0.000000,0,0
1660320836031050960,-0.000000,-0.000000,-0.000000,0,0
1660320836041188570,-0.000000,-0.000000,-0.000000,0,0
1660320836051263959,-0.000000,-0.000000,-0.000000,0,0
1660320836061356665,-0.000000,-0.000000,-0.000000,0,0
1660320836071479259,-0.000000,-0.000000,-0.000000,0,0
1660320836081620353,-0.000000,-0.000000,-0.000000,0,0
1660320836091709976,-0.000000,-0.000000,-0.000000,0,0
1660320836101823879,-0.000000,-0.000000,-0.000000,0,0
1660320836111947906,-0.000000,-0.000000,-0.000000,0,0
1660320836122057855,-0.000000,-0.000000,-0.000000,0,0
1660320836132182570,-0.000000,-0.000000,-0.000000,0,0
1660320836142321057,-0.000000,-0.000000,-0.000000,0,0
1660320836152413243,-0.000000,-0.000000,-0.000000,0,0
1660320836162537464,-0.000000,-0.000000,-0.000000,0,0
1660320836172643306,-0.000000,-0.000000,-0.000000,0,0
1660320836182755389,-0.000000,-0.000000,-0.000000,0,0
1660320836192880118,-0.000000,-0.000000,-0.000000,0,0
1660320836202976559,-0.000000,-0.000000,-0.000000,0,0
1660320836213064624,-0.000000,-0.000000,-0.000000,0,0
1660320836223120053,-0.000000,-0.000000,-0.000000,0,0
1660320836233201514,-0.000000,-0.000000,-0.000000,0,0
1660320836243282527,-0.000000,-0.000000,-0.000000,0,0
1660320836253348612,-0.000000,-0.000000,-0.000000,0,0
1660320836263428129,-0.000000,-0.000000,-0.000000,0,0
1660320836273503208,-0.000000,-0.000000,-0.000000,0,0
1660320836283632558,-0.000000,-0.000000,-0.000000,0,0
1660320836293753974,-0.000000,-0.000000,-0.000000,0,0
1660320836304061329,-0.000000,-0.000000,-0.000000,0,0
1660320836314179640,-0.000000,-0.000000,-0.000000,0,0
1660320836324327749,-0.000000,-0.000000,-0.000000,0,0
1660320836334448430,-0.000000,-0.000000,-0.000000,0,0
1660320836344601495,-0.000000,-0.000000,-0.000000,0,0
1660320836354700906,-0.000000,-0.000000,-0.000000,0,0
1660320836364801165,-0.000000,-0.000000,-0.000000,0,0
1660320836374929746,-0.000000,-0.000000,-0.000000,0,0
1660320836385098158,-0.000000,-0.000000,-0.000000,0,0
1660320836395242448,-0.000000,-0.000000,-0.000000,0,0
1660320836405373997,-0.000000,-0.000000,-0.000000,0,0
1660320836415473215,-0.000000,-0.000000,-0.000000,0,0
1660320836425611271,-0.000000,-0.000000,-0.000000,0,0
1660320836435737982,-0.000000,-0.000000,-0.000000,0,0
1660320836445886423,-0.000000,-0.000000,-0.000000,0,0
1660320836455935666,-0.000000,-0.000000,-0.000000,0,0
1660320836466072283,-0.000000,-0.000000,-0.000000,0,0
1660320836476170717,-0.000000,-0.000000,-0.000000,0,0
1660320836486311992,-0.000000,-0.000000,-0.000000,0,0
1660320836496440667,-0.000000,-0.000000,-0.000000,0,0
1660320836506541779,-0.000000,-0.000000,-0.000000,0,0
1660320836516687861,-0.000000,-0.000000,-0.000000,0,0
1660320836526823411,-0.000000,-0.000000,-0.000000,0,0
1660320836536922654,-0.000000,-0.000000,-0.000000,0,0
1660320836547042490,-0.000000,-0.000000,-0.000000,0,0
1660320836557251743,-0.000000,-0.000000,-0.000000,0,0
1660320836567377782,-0.000000,-0.000000,-0.000000,0,0
1660320836577525268,-0.000000,-0.000000,-0.000000,0,0
1660320836587660846,-0.000000,-0.000000,-0.000000,0,0
1660320836597709149,-0.000000,-0.000000,-0.000000,0,0
1660320836607836249,-0.000000,-0.000000,-0.000000,0,0
1660320836617932357,-0.000000,-0.000000,-0.000000,0,0
1660320836628061909,-0.000000,-0.000000,-0.000000,0,0
1660320836638160640,-0.000000,-0.000000,-0.000000,0,0
1660320836648261795,-0.000000,-0.000000,-0.000000,0,0
1660320836658359547,-0.000000,-0.000000,-0.000000,0,0
1660320836668492043,-0.000000,-0.000000,-0.000000,0,0
1660320836678624810,-0.000000,-0.000000,-0.000000,0,0
1660320836688723906,-0.000000,-0.000000,-0.000000,0,0
1660320836698823677,-0.000000,-0.000000,-0.000000,0,0
1660320836708918772,-0.000000,-0.000000,-0.000000,0,0
1660320836719019999,-0.000000,-0.000000,-0.000000,0,0
1660320836729163779,-0.000000,-0.000000,-0.000000,0,0
1660320836739265458,-0.000000,-0.000000,-0.000000,0,0
1660320836749362520,-0.000000,-0.000000,-0.000000,0,0
1660320836753514065,-0.000000,-0.000000,-0.000000,0,0
1660320836761535765,-0.000000,-0.000000,0.062214,0,0
1660320836769482470,-0.000000,-0.000000,0.138768,0,0
1660320836777418840,-0.000000,-0.000000,0.204399,0,0
1660320836785464735,-0.000000,-0.000000,0.286413,0,0
1660320836793455274,-0.000000,-0.000000,0.368460,0,0
1660320836801394692,-0.000000,-0.000000,0.455935,0,0
1660320836809516468,-0.000000,-0.000000,0.554366,0,0
1660320836817388269,-0.000000,-0.000000,0.652796,0,0
1660320836825449722,-0.000000,-0.000000,0.734842,0,0
1660320836833410175,-0.000000,-0.000000,0.800441,0,0
1660320836841460897,-0.000000,-0.000000,0.855150,0,0
1660320836849472514,-0.000000,-0.000000,0.896141,0,0
1660320836857379395,-0.000000,-0.000000,0.931703,0,0
1660320836865470920,-0.000000,-0.000000,0.961772,0,0
1660320836873444248,-0.000000,0.021223,0.986379,0,0
1660320836881423476,-0.000000,0.051292,1.000000,0,0
1660320836889424324,-0.000000,0.078630,1.000000,0,0
1660320836897376212,-0.000000,0.095046,1.000000,0,0
1660320836905453740,-0.000000,0.116891,1.000000,0,0
1660320836913398053,-0.000000,0.122384,1.000000,0,0
1660320836921396337,-0.000000,0.127845,1.000000,0,0
1660320836931528037,-0.000000,0.127845,1.000000,0,0
1660320836937374077,-0.000000,0.133306,1.000000,0,0
1660320836945398717,-0.000000,0.152453,1.000000,0,0
1660320836953956664,-0.000000,0.157914,1.000000,0,0
1660320836961440551,-0.000000,0.163375,1.000000,0,0
1660320836969417251,-0.000000,0.168869,1.000000,0,0
1660320836979543079,-0.000000,0.168869,1.000000,0,0
1660320836989680454,-0.000000,0.168869,1.000000,0,0
1660320836993366464,-0.000000,0.166106,1.000000,0,0
1660320837001329749,-0.000000,0.160645,1.000000,0,0
1660320837009320225,-0.000000,0.141498,1.000000,0,0
1660320837019379982,-0.000000,0.141498,1.000000,0,0
1660320837025340634,-0.000000,0.136037,1.000000,0,0
1660320837033341433,-0.000000,0.130576,1.000000,0,0
1660320837041456265,-0.000000,0.108699,0.972694,0,0
1660320837049420399,-0.000000,0.103238,0.882488,0,0
1660320837057440559,-0.000000,0.078630,0.767642,0,0
1660320837065382692,-0.000000,0.045831,0.598119,0,0
1660320837073387309,-0.000000,-0.000000,0.319245,0,0
1660320837081366981,-0.000000,-0.000000,-0.000000,0,0
1660320837089362290,-0.000000,-0.000000,-0.000000,0,0
1660320837099463802,-0.000000,-0.000000,-0.000000,0,0
1660320837109550074,-0.000000,-0.000000,-0.000000,0,0
1660320837119686381,-0.000000,-0.000000,-0.000000,0,0
1660320837129806291,-0.000000,-0.000000,-0.000000,0,0
1660320837139893977,-0.000000,-0.000000,-0.000000,0,0
1660320837150016890,-0.000000,-0.000000,-0.000000,0,0
1660320837160106010,-0.000000,-0.000000,-0.000000,0,0
1660320837170223927,-0.000000,-0.000000,-0.000000,0,0
1660320837180365519,-0.000000,-0.000000,-0.000000,0,0
1660320837190452151,-0.000000,-0.000000,-0.000000,0,0
1660320837200536729,-0.000000,-0.000000,-0.000000,0,0
1660320837210681701,-0.000000,-0.000000,-0.000000,0,0
1660320837220768875,-0.000000,-0.000000,-0.000000,0,0
1660320837230891909,-0.000000,-0.000000,-0.000000,0,0
1660320837241003196,-0.000000,-0.000000,-0.000000,0,0
1660320837251092447,-0.000000,-0.000000,-0.000000,0,0
1660320837257276532,-0.000000,-0.000000,-0.000000,0,0
1660320837265310818,-0.000000,-0.000000,-0.000000,0,0
1660320837273278386,-0.000000,-0.000000,-0.023922,0,0
1660320837281283192,-0.000000,-0.000000,-0.053990,0,0
1660320837291414403,-0.000000,-0.000000,-0.053990,0,0
1660320837297197644,-0.000000,-0.000000,-0.095014,0,0
1660320837305240302,-0.053990,-0.000000,-0.141466,0,0
1660320837313216544,-0.119621,-0.000000,-0.193444,0,0
1660320837321262722,-0.190681,-0.000000,-0.248120,0,0
1660320837329255574,-0.264504,-0.000000,-0.297335,0,0
1660320837337232644,-0.341089,-0.000000,-0.346551,0,0
1660320837345210166,-0.417643,-0.000000,-0.387542,0,0
1660320837353172724,-0.491465,-0.018428,-0.428565,0,0
1660320837361248244,-0.551603,-0.048529,-0.461364,0,0
1660320837369239683,-0.614503,-0.084059,-0.496926,0,0
1660320837377182885,-0.669179,-0.122352,-0.529726,0,0
1660320837385225889,-0.715664,-0.157882,-0.562557,0,0
1660320837393182714,-0.753924,-0.193444,-0.598087,0,0
1660320837401186375,-0.794948,-0.239896,-0.625425,0,0
1660320837409191695,-0.833240,-0.283650,-0.647302,0,0
1660320837417157821,-0.868770,-0.332865,-0.674641,0,0
1660320837425240441,-0.896109,-0.379350,-0.680102,0,0
1660320837433175431,-0.915255,-0.431296,-0.701979,0,0
